school_name,lat,long
HOLY INNOCENTS' PRIMARY SCHOOL,1.3666609,103.8936553
HORIZON PRIMARY SCHOOL,1.3998175,103.9131302
HOUGANG PRIMARY SCHOOL,1.3781206,103.8812046
HUAMIN PRIMARY SCHOOL,1.427311,103.8443612
INNOVA PRIMARY SCHOOL,1.4293039,103.790427
JIEMIN PRIMARY SCHOOL,1.427671,103.830498
JING SHAN PRIMARY SCHOOL,1.3723262,103.8517128
JUNYUAN PRIMARY SCHOOL,1.3479731,103.9399917
JURONG PRIMARY SCHOOL,1.348679,103.732992
JURONG WEST PRIMARY SCHOOL,1.3390605,103.6988498
KEMING PRIMARY SCHOOL,1.3453287,103.7563823
KRANJI PRIMARY SCHOOL,1.3936035,103.747804
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349824,103.8549463
LAKESIDE PRIMARY SCHOOL,1.3384657,103.7181475
LIANHUA PRIMARY SCHOOL,1.3536088,103.754424
MARSILING PRIMARY SCHOOL,1.4338104,103.7736593
MAYFLOWER PRIMARY SCHOOL,1.3766994,103.8431573
MERIDIAN PRIMARY SCHOOL,1.3767228,103.9354461
METHODIST GIRLS' SCHOOL (PRIMARY),1.3329949,103.783453
NAN CHIAU PRIMARY SCHOOL,1.352083,103.819836
NAN HUA PRIMARY SCHOOL,1.3197989,103.7619428
NANYANG PRIMARY SCHOOL,1.3205401,103.80852
NAVAL BASE PRIMARY SCHOOL,1.4160913,103.8389168
NEW TOWN PRIMARY SCHOOL,1.2999524,103.7999953
NGEE ANN PRIMARY SCHOOL,1.3056219,103.9180054
NORTH SPRING PRIMARY SCHOOL,1.3872399,103.9035985
NORTH VIEW PRIMARY SCHOOL,1.427616,103.848313
NORTH VISTA PRIMARY SCHOOL,1.3829142,103.8958131
NORTHLAND PRIMARY SCHOOL,1.4210098,103.8405561
NORTHOAKS PRIMARY SCHOOL,1.4569403,103.8137084
NORTHSHORE PRIMARY SCHOOL,1.4185055,103.9047876
OASIS PRIMARY SCHOOL,1.404285,103.9109661
OPERA ESTATE PRIMARY SCHOOL,1.3193914,103.9235753
PALM VIEW PRIMARY SCHOOL,1.3841217,103.890795
PARK VIEW PRIMARY SCHOOL,1.3775806,103.9395361
PASIR RIS PRIMARY SCHOOL,1.372403,103.9629666
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.3504619,103.8852195
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.338081,103.77613
PEI TONG PRIMARY SCHOOL,1.3161197,103.7675906
PEIYING PRIMARY SCHOOL,1.4175241,103.8302678
PIONEER PRIMARY SCHOOL,1.33837,103.688061
PRINCESS ELIZABETH PRIMARY SCHOOL,1.3494947,103.7410015
PUNGGOL COVE PRIMARY SCHOOL,1.4116904,103.89861
PUNGGOL GREEN PRIMARY SCHOOL,1.4019222,103.8988272
PUNGGOL PRIMARY SCHOOL,1.3773646,103.8945949
PUNGGOL VIEW PRIMARY SCHOOL,1.4052688,103.9051887
QIFA PRIMARY SCHOOL,1.3128971,103.7569168
QIHUA PRIMARY SCHOOL,1.4421018,103.7884731
QUEENSTOWN PRIMARY SCHOOL,1.2962213,103.8079624
RADIN MAS PRIMARY SCHOOL,1.2750693,103.8238799
RAFFLES GIRLS' PRIMARY SCHOOL,1.3299574,103.8062236
RIVER VALLEY PRIMARY SCHOOL,1.2938838,103.8363894
RIVERSIDE PRIMARY SCHOOL,1.4468546,103.8015922
RIVERVALE PRIMARY SCHOOL,1.3932451,103.9043989
RULANG PRIMARY SCHOOL,1.34694,103.71896
SEMBAWANG PRIMARY SCHOOL,1.4454114,103.8209921
SENG KANG PRIMARY SCHOOL,1.3894988,103.8994163
SENGKANG GREEN PRIMARY SCHOOL,1.3928381,103.8754243
SHUQUN PRIMARY SCHOOL,1.347546,103.7215517
SI LING PRIMARY SCHOOL,1.432693,103.78577
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,1.3202303,103.8296851
SOUTH VIEW PRIMARY SCHOOL,1.381324,103.7471451
SPRINGDALE PRIMARY SCHOOL,1.3949667,103.8896801
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.3343022,103.9411549
ST. ANTHONY'S PRIMARY SCHOOL,1.3641887,103.748959
ST. GABRIEL'S PRIMARY SCHOOL,1.3493594,103.8621025
ST. HILDA'S PRIMARY SCHOOL,1.3496843,103.9361045
ST. MARGARET'S SCHOOL (PRIMARY),1.303732,103.8456785
TAMPINES NORTH PRIMARY SCHOOL,1.360298,103.948581
TAMPINES PRIMARY SCHOOL,1.3497384,103.9442245
TANJONG KATONG PRIMARY SCHOOL,1.3053798,103.9003358
TECK GHEE PRIMARY SCHOOL,1.3654149,103.8506386
TECK WHYE PRIMARY SCHOOL,1.3837636,103.7537174
TELOK KURAU PRIMARY SCHOOL,1.3308237,103.911406
TEMASEK PRIMARY SCHOOL,1.3175255,103.9455521
TOWNSVILLE PRIMARY SCHOOL,1.3601828,103.8541038
UNITY PRIMARY SCHOOL,1.403245,103.74729
VALOUR PRIMARY SCHOOL,1.4070767,103.8989595
WATERWAY PRIMARY SCHOOL,1.3992126,103.9186292
WELLINGTON PRIMARY SCHOOL,1.4521597,103.8224459
WEST GROVE PRIMARY SCHOOL,1.3445677,103.6990057
WEST SPRING PRIMARY SCHOOL,1.3896611,103.7665176
WEST VIEW PRIMARY SCHOOL,1.3837275,103.7601419
WESTWOOD PRIMARY SCHOOL,1.3472361,103.7004708
WHITE SANDS PRIMARY SCHOOL,1.3654493,103.9610714
WOODGROVE PRIMARY SCHOOL,1.4334662,103.7905304
WOODLANDS PRIMARY SCHOOL,1.4367469,103.7915951
WOODLANDS RING PRIMARY SCHOOL,1.4345519,103.7978994
XINGHUA PRIMARY SCHOOL,1.357958,103.8901418
XINGNAN PRIMARY SCHOOL,1.3425489,103.6870917
XINMIN PRIMARY SCHOOL,1.371371,103.883074
XISHAN PRIMARY SCHOOL,1.4334915,103.8374838
YANGZHENG PRIMARY SCHOOL,1.349218,103.8685545
YEW TEE PRIMARY SCHOOL,1.396978,103.7511849
YIO CHU KANG PRIMARY SCHOOL,1.377996,103.8855816
YISHUN PRIMARY SCHOOL,1.4334926,103.8338127
YU NENG PRIMARY SCHOOL,1.3338292,103.9318969
YUHUA PRIMARY SCHOOL,1.3429774,103.7409109
YUMIN PRIMARY SCHOOL,1.3516199,103.9511251
ZHANGDE PRIMARY SCHOOL,1.2842268,103.8267059
ZHENGHUA PRIMARY SCHOOL,1.3796697,103.7692818
ZHONGHUA PRIMARY SCHOOL,1.3598531,103.8695741
AI TONG SCHOOL,1.3603066,103.8327064
ASSUMPTION ENGLISH SCHOOL,1.3684449,103.7664767
ASSUMPTION PATHWAY SCHOOL,1.3705844,103.7663395
CHIJ (KELLOCK),1.2750626,103.8283114
CHIJ OUR LADY OF GOOD COUNSEL,1.3574239,103.8637879
CHIJ OUR LADY OF THE NATIVITY,1.3735318,103.897543
CHIJ OUR LADY QUEEN OF PEACE,1.3667455,103.7674463
CHIJ ST. JOSEPH'S CONVENT ,1.391747,103.902461
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.3740005,103.8341542
DE LA SALLE SCHOOL,1.3950704,103.7433723
HAIG GIRLS' SCHOOL,1.3120003,103.9026307
HONG WEN SCHOOL,1.3213838,103.8570129
KHENG CHENG SCHOOL,1.3376497,103.8477955
TAO NAN SCHOOL,1.3049059,103.911434
KONG HWA SCHOOL,1.311089,103.8881773
MAHA BODHI SCHOOL,1.3284131,103.9015463
MARIS STELLA HIGH SCHOOL,1.3411414,103.8776654
MARYMOUNT CONVENT SCHOOL,1.3406106,103.8400154
MEE TOH SCHOOL,1.3947729,103.9089333
PEI CHUN PUBLIC SCHOOL,1.3371187,103.8558037
POI CHING SCHOOL,1.3579299,103.9356567
