town,flat_type,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_remaining_lease,avg_mrt_distance,avg_cbd_distance
BUKIT BATOK,4 ROOM,280272.4001358276,256000.0,16197,96.97962585664011,82.97357535346052,622.1881588262315,13710.18255954523
BUKIT BATOK,5 ROOM,409574.51688419306,385000.0,4827,125.47876527864098,84.73544644706857,648.91602212964,13529.556123564182
BUKIT BATOK,EXECUTIVE,461373.80670034565,443000.0,3761,147.31348045732517,83.34352565806967,610.0821867245073,13692.397794434113
BUKIT MERAH,1 ROOM,69158.30263157895,47000.0,1064,30.117481203007518,70.94172932330827,1211.7946074494985,3588.8321407213525
BUKIT MERAH,2 ROOM,149919.72734761122,110000.0,1214,45.312191103789125,65.80395387149917,397.84172421145433,3435.1582048360337
BUKIT MERAH,3 ROOM,220392.5495483702,178000.0,15278,65.91307762796177,72.22201858882053,699.3719973222614,3343.7842430243268
BUKIT MERAH,4 ROOM,450375.53935608914,405000.0,9287,92.6352966512329,81.2352751157532,640.5082503115499,3467.6029129730573
BUKIT MERAH,5 ROOM,560493.3474830361,525000.0,6337,120.40318762821525,80.34811424964494,631.7443287724091,3473.156003777763
BUKIT MERAH,EXECUTIVE,546500.0,542500.0,8,157.75,69.875,785.3972003969754,3402.123309280246
BUKIT PANJANG,2 ROOM,259604.2641509434,254000.0,106,46.83018867924528,92.63207547169812,1193.2141995685242,15049.347372030725
BUKIT PANJANG,3 ROOM,197853.1544011544,160000.0,4158,71.9021164021164,83.64357864357865,1003.9740228016013,13771.410402821637
BUKIT PANJANG,4 ROOM,294600.3855383139,260000.0,12502,97.50295952647576,86.29603263477844,1008.3999926044074,14285.944788630619
BUKIT PANJANG,5 ROOM,393750.90461750515,376000.0,7255,118.27567195037905,86.89717436250861,974.7904146890593,14436.214159072524
BUKIT PANJANG,EXECUTIVE,485678.69761560694,462350.0,2768,141.52095375722544,85.16293352601156,932.0519954492542,14262.652301254655
BUKIT TIMAH,3 ROOM,241088.47599164926,195000.0,479,68.94989561586638,70.08977035490605,226.59283912746739,6553.1392190711495
BUKIT TIMAH,4 ROOM,394911.0919158361,329000.0,903,99.5703211517165,77.8671096345515,387.2885735562612,9279.649341475344
BUKIT TIMAH,5 ROOM,521334.0904684976,450000.0,619,123.19870759289176,79.07592891760905,319.29323780062606,9400.24137541977
BUKIT TIMAH,EXECUTIVE,648452.8340707965,581500.0,452,147.23230088495575,82.81637168141593,402.4238739682583,10484.669067473738
CENTRAL AREA,2 ROOM,108381.08021390374,88000.0,748,47.106951871657756,75.52540106951872,610.2364678703401,1435.967452515261
CENTRAL AREA,3 ROOM,248609.42394736843,210000.0,3800,65.00815789473684,73.37605263157894,266.7065860970052,1711.3260206719654
CENTRAL AREA,4 ROOM,484238.27444168733,400000.0,2015,89.863523573201,80.0014888337469,291.04442365124515,1903.1980214706475
CENTRAL AREA,5 ROOM,835474.1256684492,940000.0,374,114.00802139037434,86.3663101604278,332.55925647941757,1873.3307975250634
CENTRAL AREA,EXECUTIVE,499000.0,499000.0,2,153.5,75.5,137.547164319981,2494.7636480010433
CHOA CHU KANG,2 ROOM,252245.58823529413,245000.0,68,46.63235294117647,93.0,898.0383150752015,16080.094912984998
CHOA CHU KANG,3 ROOM,195983.37041828374,160000.0,2319,72.09141871496334,80.85381630012937,896.8318959473779,15367.640689204442
CHOA CHU KANG,4 ROOM,300035.6084978862,280000.0,18687,102.63081286455825,87.16642585754803,682.4043228221508,16370.210794349161
CHOA CHU KANG,5 ROOM,385573.1475152572,370000.0,11470,122.43469921534438,87.62484742807324,644.5780376090693,16594.42877294524
CHOA CHU KANG,EXECUTIVE,471346.2653846154,458000.0,4420,145.64570135746607,87.21018099547511,630.7900437385506,16509.31032239428
CLEMENTI,2 ROOM,275022.0,287500.0,58,46.706896551724135,78.8103448275862,669.2638789634124,9732.42522320766
CLEMENTI,3 ROOM,201469.8278084144,175000.0,16139,69.73517566144123,75.96474378833881,724.2841068945417,10169.155648461914
CLEMENTI,4 ROOM,342945.64873214054,285000.0,7769,92.61693911700347,77.40223967048526,748.6435792433347,10106.256977560139
CLEMENTI,5 ROOM,476107.5866364666,430000.0,2649,121.5602114005285,77.30539826349566,809.251793133611,9838.595407489907
CLEMENTI,EXECUTIVE,549940.650617284,519000.0,810,150.4283950617284,79.47037037037038,969.4720754137493,10230.318800024203
GEYLANG,2 ROOM,107312.59278024067,86000.0,1579,44.28689043698543,68.32425585813806,374.81255331678614,6266.029100677098
GEYLANG,3 ROOM,186440.73530307645,162000.0,13132,62.50700578738958,69.57158087115444,424.80395948698816,6134.774470343245
GEYLANG,4 ROOM,324346.9182783019,280000.0,8480,93.33313679245283,80.52216981132075,461.5027581651235,6502.601883701368
GEYLANG,5 ROOM,451457.2511700468,410000.0,3205,123.28517940717629,79.3219968798752,439.36843896702106,5997.80249741164
GEYLANG,EXECUTIVE,502901.72743846854,480000.0,1097,147.50227894257065,82.55150410209663,434.9321579936918,6442.770840556242
HOUGANG,2 ROOM,250081.4814814815,243000.0,54,47.0,92.57407407407408,1537.375149628646,11308.439091417476
HOUGANG,3 ROOM,191251.06571804572,163944.0,12158,68.74239184076329,79.02738937325218,814.8188375268384,10112.520533703908
HOUGANG,4 ROOM,293666.36179534177,267000.0,22369,97.20260181501185,83.66703920604408,805.9473172208975,10568.105533971557
HOUGANG,5 ROOM,402474.8201284797,378000.0,9340,122.21017130620984,84.84475374732334,877.695513775134,10573.971799608362
HOUGANG,EXECUTIVE,507111.752797958,488000.0,5093,146.57804830159043,83.62654623993717,749.1357352083545,10449.20317232797
JURONG EAST,2 ROOM,250949.13559322033,245000.0,59,44.86440677966102,93.11864406779661,871.0408424948901,14492.696439383715
JURONG EAST,3 ROOM,182473.9072451819,160000.0,9703,71.14954137895496,77.96722663093888,831.8235068571578,13931.21386768608
JURONG EAST,4 ROOM,279259.8407483795,249500.0,6788,97.23394225103124,81.47525044195639,886.1418026120108,13874.70116625448
JURONG EAST,5 ROOM,367826.8244819781,346000.0,5743,122.06825700853213,80.84885948110744,884.5491906976938,13779.221377425018
JURONG EAST,EXECUTIVE,482792.2212343096,450000.0,1912,146.7494769874477,83.51725941422595,840.9590422450573,14238.812748937979
JURONG WEST,2 ROOM,234815.8773006135,235000.0,163,49.61349693251534,83.11656441717791,808.9929253980139,17352.693540994165
JURONG WEST,3 ROOM,165336.86469949104,148000.0,17487,68.1878538342769,75.578486875965,832.2567445322161,16613.582915494728
JURONG WEST,4 ROOM,280329.6153723106,248000.0,25006,99.98904262976886,85.04334959609693,825.252745113594,17438.534597124297
JURONG WEST,5 ROOM,372592.52048549074,361000.0,16231,120.00345018791202,85.92212432998583,773.3534130044505,17635.409108639753
JURONG WEST,EXECUTIVE,453382.2007273987,437000.0,5774,143.64634568756495,85.04970557672324,937.8157648936557,17369.67738095513
KALLANG/WHAMPOA,2 ROOM,123250.8146143437,101000.0,739,48.15155615696888,70.46549391069013,420.59342936665684,4123.074076781389
KALLANG/WHAMPOA,3 ROOM,219173.29053468208,177000.0,13840,67.68670520231214,71.55158959537572,479.28448715451884,4441.725225786316
