year,town,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_remaining_lease,avg_mrt_distance,avg_cbd_distance
2005,BUKIT PANJANG,236584.05784313724,230000.0,1020,103.3921568627451,88.65882352941176,883.6349925716007,14292.824926593006
2005,BUKIT TIMAH,316613.7721518987,308000.0,79,109.65822784810126,77.29113924050633,339.4627878843065,8996.205083223276
2005,CENTRAL AREA,221086.5922746781,215000.0,233,70.27467811158799,72.84978540772532,293.18806293454526,1732.4845658239908
2005,CHOA CHU KANG,254338.71031455742,246000.0,1367,113.22604242867594,88.7198244330651,652.6578799499835,16482.99856932677
2005,CLEMENTI,218443.18848758464,196000.0,886,82.37020316027088,73.92776523702031,758.8398126138907,10093.729357662087
2005,GEYLANG,201581.59518599563,175000.0,914,77.08533916849015,72.28336980306345,420.49973203930824,6108.4751890429425
2005,HOUGANG,229922.42787583687,225000.0,1643,98.31162507608035,83.03286670724285,838.7076986466732,10457.229529178227
2005,JURONG EAST,228637.03229813665,214000.0,805,96.41366459627329,80.21739130434783,840.3932992319496,13824.13158868914
2005,JURONG WEST,223818.06787878787,223000.0,2475,97.85414141414141,84.84,741.2971312881813,17263.70805257596
2005,KALLANG/WHAMPOA,228038.26598465472,195500.0,782,83.3081841432225,74.6150895140665,482.99632248501297,4371.833564294247
2005,MARINE PARADE,278873.30894308945,258000.0,246,85.7439024390244,69.41463414634147,1876.5145410882576,7183.776683501835
2005,PASIR RIS,288655.37911025144,280000.0,1034,122.53191489361703,86.97775628626692,1112.5993546717184,14895.300342534289
2005,PUNGGOL,284612.5333333333,292800.0,15,103.13333333333334,97.2,1689.9791269993352,14109.701080965471
2005,QUEENSTOWN,207194.03197674418,173000.0,1032,70.67248062015504,69.69767441860465,478.90897680938525,6444.565538930615
2005,SEMBAWANG,253089.93526785713,245000.0,896,104.14174107142857,94.40066964285714,462.65562566252095,18810.29213124961
2005,SENGKANG,264400.82571912016,258000.0,1182,103.90186125211505,94.21573604060913,739.2977581980294,13014.129881079069
2005,SERANGOON,231313.21038251367,218250.0,732,95.5464480874317,81.75956284153006,1043.8070060752757,8879.5750058361
2005,TAMPINES,256629.96129893238,252000.0,2248,102.98265124555161,82.80249110320284,700.2538051219295,13216.514884144814
2005,TOA PAYOH,239816.5407035176,200000.0,995,83.75979899497487,73.76482412060301,608.4544821173685,5981.092903695961
2005,WOODLANDS,241793.74667624864,236000.0,2783,106.30183255479699,88.84872439813151,582.130670889541,18383.840609074494
2005,YISHUN,196788.873357856,182000.0,1903,89.72990015764582,80.7346295323174,695.4339810930732,16134.942008001715
2006,ANG MO KIO,213572.2607028754,183800.0,1565,81.2741214057508,74.62683706070287,613.7923046792924,9781.468802816858
2006,BEDOK,215513.94426048564,190500.0,1812,87.1037527593819,75.08995584988962,756.8505134477044,10022.212464902997
2006,BISHAN,304338.5925925926,300000.0,648,105.61882716049382,81.14814814814815,704.7770465708579,7811.316046868849
2006,BUKIT BATOK,217392.7345971564,188000.0,1266,92.10821484992101,80.27488151658768,664.3069452234173,13603.337317502026
2006,BUKIT MERAH,258641.12148685404,235000.0,1103,82.45240253853127,76.75793291024479,660.3976766043612,3316.320361096391
2006,BUKIT PANJANG,233493.42828282827,230000.0,990,102.2959595959596,88.91616161616162,896.9646920342983,14374.911114568014
2006,BUKIT TIMAH,303902.41025641025,306250.0,78,104.64102564102564,76.3076923076923,341.7872761030639,9004.178984348515
2006,CENTRAL AREA,237389.37368421053,225000.0,190,72.73684210526316,72.93684210526315,292.6306400094991,1851.5785549439197
2006,CHOA CHU KANG,250808.9439330544,240000.0,1195,112.49205020920502,88.35899581589958,684.3722159417365,16559.39395561698
2006,CLEMENTI,225935.2345523329,190000.0,793,82.59268600252207,74.09205548549811,767.4375868164799,10118.157024331664
