year,region,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_mrt_distance,avg_cbd_distance
2013,CENTRAL,515309.8255921255,470000.0,3251,83.31374961550293,570.9045838959437,5375.421830191825
2013,EAST,480931.626724764,466000.0,2754,100.5911401597676,813.9897354341992,12231.651075010484
2013,NORTH,437001.52341311134,428000.0,2883,101.13250086715227,643.372801550841,17652.9524570218
2013,NORTH-EAST,488899.2064691657,482000.0,3308,96.32889963724304,920.7860778509806,11207.591262147822
2013,WEST,459461.4186106127,445000.0,3901,99.47962061009997,779.7061954698676,15170.451901259154
2014,CENTRAL,487294.2580133291,430000.0,3151,82.31799428752777,603.6801625394482,5346.597523342113
2014,EAST,455107.6147568854,440000.0,2941,99.40768446106766,813.3627521450946,12264.41542945117
2014,NORTH,395283.72982708935,385000.0,2776,98.39481268011528,645.8660077058421,17544.541408761987
2014,NORTH-EAST,452005.9077240566,442000.0,3392,95.8685141509434,915.1606691258937,11265.987422919648
2014,WEST,422708.592544317,408000.0,3836,97.77528675703859,766.3451098727153,15127.907656022751
2015,CENTRAL,509261.03977441374,465000.0,3369,85.15939447907391,580.0506692063951,5284.951623620885
2015,EAST,437092.9339923469,418000.0,3136,100.45886479591837,821.8963057311014,12296.962234197106
2015,NORTH,387235.30629978277,374500.0,2762,101.90477914554671,640.2177369206378,17647.11115205561
2015,NORTH-EAST,432003.31327697664,420000.0,4022,96.3821481849826,957.5185110383043,11413.46235828503
2015,WEST,408739.88220886217,390000.0,4491,99.96615453128479,768.8244062078574,15135.606102290772
2016,CENTRAL,522040.339731286,490000.0,3647,86.468330134357,578.1688193214542,5327.86738250303
2016,EAST,442254.45232815965,420000.0,3157,100.95312005068102,801.9850450325881,12278.007065068
2016,NORTH,389284.2412645591,380000.0,3005,102.6811980033278,652.8353163870645,17636.009889765995
2016,NORTH-EAST,436285.6505387703,425000.0,4733,97.10289457004015,985.7945239787733,11631.519996103689
2016,WEST,407122.68722831714,385000.0,4831,99.85220451252329,770.0761039541667,15147.503363776666
2017,CENTRAL,537276.8053691275,522000.0,4172,88.09108341323106,572.1817425426221,5368.907506171701
2017,EAST,456261.3888708103,438000.0,3073,103.55418158151643,820.1972115126608,12339.692344917019
2017,NORTH,375156.2807123453,360000.0,3313,101.10896468457591,669.2148576992722,17585.771326554936
2017,NORTH-EAST,439237.7385620915,425000.0,5202,97.8517877739331,1057.3047899991745,11864.538678242818
2017,WEST,406883.9987365761,388000.0,4749,100.03727100442198,777.285737052264,15216.185326798812
2018,CENTRAL,543007.6753183154,527500.0,4084,88.46669931439764,575.2482768250794,5344.326065428872
2018,EAST,461515.15170871926,438000.0,3131,104.85435962951134,798.7923858432583,12384.301173380394
2018,NORTH,365663.6118811881,350000.0,3535,101.33267326732673,671.0025227185114,17641.394832777198
2018,NORTH-EAST,440100.73325127485,422000.0,5687,97.97872340425532,1112.0982673478525,11954.739110372373
2018,WEST,401319.5841139735,380000.0,5124,101.0167837626854,780.8986409506772,15173.093261991497
2019,CENTRAL,524031.4768665851,502500.0,4085,88.10330477356182,568.8940937502872,5327.4541684117485
2019,EAST,445721.9882352941,425000.0,3145,101.02861685214626,818.3857563265937,12324.5079065385
2019,NORTH,371013.07310149044,360000.0,4227,99.4137686302342,756.2097300230567,17534.979705339993
2019,NORTH-EAST,436066.08130999433,420000.0,5313,95.57312252964427,1066.2630129806807,11871.395851176669
2019,WEST,398791.75535450515,380000.0,5416,101.24852289512556,802.3436224863943,15170.309108814392
2020,CENTRAL,527483.0762210162,505000.0,4054,87.96941292550568,583.7950917152544,5364.524568393154
2020,EAST,463263.74689440994,448000.0,3864,101.55926501035196,812.4098750862685,12364.140784880647
2020,NORTH,391787.646843292,380000.0,3548,101.13669673055243,783.9855247209268,17344.318174497173
2020,NORTH-EAST,453428.7425441266,440000.0,6572,96.40216068167986,1128.2094662515296,12162.408021752297
2020,WEST,425792.46647780924,410000.0,5295,101.28253068932956,846.6942292654119,14985.246344795587
2021,CENTRAL,591502.8721429799,590000.0,5819,89.67039010139199,581.3101630884913,5298.685862457674
2021,EAST,516447.9675572519,505000.0,4716,103.81424936386769,817.6547351581089,12379.632295246212
2021,NORTH,452303.6253846154,440000.0,3900,101.3125641025641,746.725565411867,17375.042814588873
2021,NORTH-EAST,501339.0952213633,485000.0,8538,97.76329351136097,1112.9215922245364,12410.104669016
2021,WEST,482925.2427216225,465000.0,6114,100.7930978083088,846.6022541143243,14951.038683836852
2022,CENTRAL,623039.0706457925,617000.0,5110,87.6692759295499,574.0891702643715,5334.035047013014
2022,EAST,554172.2673012606,533888.0,3887,102.84203756110111,823.4905305943574,12377.58176280029
2022,NORTH,502010.7967741935,488000.0,4650,98.76064516129033,724.7904551539077,17340.645448333587
2022,NORTH-EAST,549310.9188311688,535000.0,7084,96.22473178994917,1077.0983127652992,12234.153014031965
2022,WEST,521699.84968301636,506000.0,5994,100.21388054721388,847.3403784025462,15006.71224766026
2023,CENTRAL,627277.8639291466,613500.0,1242,85.52737520128825,560.932137242618,5322.894424497732
2023,EAST,560510.1800766283,550000.0,1044,99.90325670498085,795.993075021337,12306.327977422137
2023,NORTH,510852.2667151163,500000.0,1376,96.21802325581395,713.3959681790569,17406.796046127252
2023,NORTH-EAST,564778.2505555556,560000.0,1800,94.16166666666666,1086.0646239178166,12189.098553561103
2023,WEST,543809.0765822785,520000.0,1580,98.92784810126582,848.6603955847659,14812.207439597243
