Year,Planning Area,Age Range,Value
2010,Sembawang,60+,6080
2010,Sengkang,0-24,56150
2010,Sengkang,25-59,96170
2010,Sengkang,60+,14770
2010,Serangoon,0-24,37780
2010,Serangoon,25-59,66920
2010,Serangoon,60+,20080
2010,Simpang,0-24,0
2010,Simpang,25-59,0
2010,Simpang,60+,0
2010,Singapore River,0-24,490
2010,Singapore River,25-59,1360
2010,Singapore River,60+,220
2010,Southern Islands,0-24,200
2010,Southern Islands,25-59,410
2010,Southern Islands,60+,40
2010,Straits View,0-24,0
2010,Straits View,25-59,0
2010,Straits View,60+,0
2010,Sungei Kadut,0-24,200
2010,Sungei Kadut,25-59,400
2010,Sungei Kadut,60+,310
2010,Tampines,0-24,87900
2010,Tampines,25-59,143800
2010,Tampines,60+,30090
2010,Tanglin,0-24,4890
2010,Tanglin,25-59,9690
2010,Tanglin,60+,2750
2010,Tengah,0-24,0
2010,Tengah,25-59,0
2010,Tengah,60+,0
2010,Toa Payoh,0-24,31520
2010,Toa Payoh,25-59,66650
2010,Toa Payoh,60+,26510
2010,Tuas,0-24,0
2010,Tuas,25-59,0
2010,Tuas,60+,0
2010,Western Islands,0-24,0
2010,Western Islands,25-59,0
2010,Western Islands,60+,0
2010,Western Water Catchment,0-24,400
2010,Western Water Catchment,25-59,560
2010,Western Water Catchment,60+,100
2010,Woodlands,0-24,90440
2010,Woodlands,25-59,134050
2010,Woodlands,60+,20670
2010,Yishun,0-24,60010
2010,Yishun,25-59,103790
2010,Yishun,60+,21400
2015,Ang Mo Kio,0-24,42370
2015,Ang Mo Kio,25-59,91020
2015,Ang Mo Kio,60+,41380
2015,Bedok,0-24,76230
2015,Bedok,25-59,150790
2015,Bedok,60+,62740
2015,Bishan,0-24,24870
2015,Bishan,25-59,47310
2015,Bishan,60+,18550
2015,Boon Lay,0-24,0
2015,Boon Lay,25-59,0
2015,Boon Lay,60+,0
2015,Bukit Batok,0-24,39660
2015,Bukit Batok,25-59,76400
2015,Bukit Batok,60+,23210
2015,Bukit Merah,0-24,35900
2015,Bukit Merah,25-59,80370
2015,Bukit Merah,60+,39600
2015,Bukit Panjang,0-24,43230
2015,Bukit Panjang,25-59,75700
2015,Bukit Panjang,60+,20120
2015,Bukit Timah,0-24,22400
2015,Bukit Timah,25-59,37150
2015,Bukit Timah,60+,14970
2015,Central Water Catchment,0-24,0
2015,Central Water Catchment,25-59,0
2015,Central Water Catchment,60+,0
2015,Changi,0-24,920
2015,Changi,25-59,1300
2015,Changi,60+,330
2015,Changi Bay,0-24,0
2015,Changi Bay,25-59,0
2015,Changi Bay,60+,0
2015,Choa Chu Kang,0-24,57930
2015,Choa Chu Kang,25-59,94220
2015,Choa Chu Kang,60+,22170
2015,Clementi,0-24,22360
2015,Clementi,25-59,47820
2015,Clementi,60+,21440
2015,Downtown Core,0-24,590
2015,Downtown Core,25-59,2150
2015,Downtown Core,60+,980
2015,Geylang,0-24,29130
2015,Geylang,25-59,62040
2015,Geylang,60+,25830
2015,Hougang,0-24,61300
2015,Hougang,25-59,119110
2015,Hougang,60+,41910
2015,Jurong East,0-24,22450
