Year,Region,Gender,Category,Attribute,Value
1/1/2000,WEST REGION,,language_spoken_at_home,,
1/1/2015,CENTRAL REGION,,language_spoken_at_home,tamil,24000
1/1/2000,NORTH REGION,male,economic_status,inactive,29973
1/1/2000,NORTH REGION,,education_attending,primary,44353
1/1/2010,NORTH REGION,,household_income,sgd_5000_to_5999,13041
1/1/2010,NORTH REGION,,income_from_work,sgd_3000_to_3999,38789
1/1/2010,NORTH REGION,,industry,public_admin_education,32598
1/1/2020,EAST REGION,,language_spoken_at_home,chn_dlt_oth_lang,2213
1/1/2015,NORTH-EAST REGION,,language_spoken_at_home,malay,55500
1/1/2020,NORTH REGION,,language_spoken_at_home,eng_mly,47871
1/1/2010,CENTRAL REGION,,industry,real_estate_services,13573
1/1/2000,EAST REGION,male,age_group,age_5_9,30510
1/1/2000,NORTH-EAST REGION,,dwelling_type_population,hdb_5_room_and_executive_flats,128700
1/1/2010,EAST REGION,female,age_group,age_25_29,24740
1/1/2010,NORTH-EAST REGION,,income_from_work,sgd_1500_to_1999,33550
1/1/2010,NORTH REGION,,education_attending,prof_qualification_diploma,2084
1/1/2010,NORTH-EAST REGION,,language_literate,,
1/1/2000,NORTH-EAST REGION,,education_attending,,
1/1/2015,NORTH-EAST REGION,,mode_of_transport_school,pvt_chartered_bus,11900
1/1/2020,NORTH-EAST REGION,female,age_group,age_35_39,42060
1/1/2010,EAST REGION,female,age_group,age_20_24,24280
1/1/2010,CENTRAL REGION,female,marital_status,widowed,43008
1/1/2010,CENTRAL REGION,male,ethnic_distribution,others,18224
1/1/2020,EAST REGION,,household_size,person_more_8,3308
1/1/2000,NORTH-EAST REGION,,income_from_work,sgd_4000_to_4999,19337
1/1/2000,EAST REGION,male,economic_status,,
1/1/2010,NORTH-EAST REGION,,mode_of_transport_work,,
1/1/2020,NORTH REGION,female,economic_status,inactive,95001
1/1/2000,EAST REGION,,household_income,sgd_2000_to_2999,22316
1/1/2010,WEST REGION,,language_spoken_at_home,tml_oth_lang,0
1/1/2000,EAST REGION,male,age_group,age_45_49,26990
1/1/2010,NORTH-EAST REGION,male,age_group,age_70_74,8200
1/1/2020,EAST REGION,,dwelling_type_population,hdb_5_room_and_executive_flats,191710
1/1/2000,EAST REGION,,language_spoken_at_home,chn_dlt_mand,0
1/1/2000,EAST REGION,,income_from_work,sgd_4000_to_4999,23650
1/1/2020,WEST REGION,,language_literate,l1_eng,69777
1/1/2010,NORTH REGION,,industry,wholesale_retail_trade,40339
1/1/2010,NORTH REGION,,industry,other_comm_social_personal,8022
1/1/2015,CENTRAL REGION,female,age_group,age_0_4,19920
1/1/2015,NORTH-EAST REGION,,mode_of_transport_school,car,20100
1/1/2010,CENTRAL REGION,,income_from_work,sgd_2500_to_2999,30552
1/1/2015,NORTH-EAST REGION,,language_spoken_at_home,oth_lang_eng,0
1/1/2015,CENTRAL REGION,,mode_of_transport_school,bus,32200
1/1/2015,WEST REGION,,language_literate,l2_eng_tam,32600
1/1/2015,NORTH REGION,male,age_group,age_75_79,3260
1/1/2020,EAST REGION,female,age_group,age_40_44,24500
1/1/2015,CENTRAL REGION,,dwelling_type_household,condominiums_and_other_apartments,61900
1/1/2015,NORTH-EAST REGION,,religion,hinduism,32900
1/1/2010,NORTH-EAST REGION,male,age_group,age_35_39,33230
1/1/2015,NORTH REGION,,dwelling_type_population,landed_properties,11120
1/1/2000,WEST REGION,male,ethnic_distribution,,
1/1/2010,EAST REGION,,household_income,sgd_8000_over,
1/1/2000,NORTH-EAST REGION,,household_size,person7,4438
1/1/2015,NORTH REGION,,mode_of_transport_work,mrt_car,0
1/1/2015,EAST REGION,,dwelling_type_household,condominiums_and_other_apartments,36000
1/1/2020,CENTRAL REGION,female,age_group,age_40_44,37270
1/1/2015,EAST REGION,,mode_of_transport_school,bus,39500
1/1/2000,WEST REGION,male,age_group,age_75_79,2610
1/1/2015,NORTH-EAST REGION,male,age_group,age_40_44,34150
1/1/2010,NORTH-EAST REGION,,industry,hotels_restaurants,0
1/1/2010,EAST REGION,,income_from_work,sgd_2500_to_2999,27654
1/1/2010,NORTH-EAST REGION,,education_attending,post_secondary,10205
1/1/2010,WEST REGION,,mode_of_transport_school,mrt_other,1792
1/1/2015,EAST REGION,female,age_group,age_0_4,14010
1/1/2000,NORTH REGION,male,marital_status,,
1/1/2000,NORTH REGION,,language_literate,l2_eng_tam,11377
1/1/2010,NORTH-EAST REGION,female,economic_status,unemployed,7588
1/1/2015,NORTH REGION,,mode_of_transport_work,mrt,49100
1/1/2010,WEST REGION,,tenancy,others,2734
1/1/2000,NORTH REGION,,mode_of_transport_school,other_combi_mrt_lrt_or_bus,0
1/1/2020,NORTH-EAST REGION,male,age_group,age_60_64,29970
1/1/2015,WEST REGION,,dwelling_type_household,total_hdb,233000
1/1/2000,NORTH REGION,,language_literate,l2_other_two,866
1/1/2000,NORTH-EAST REGION,,language_spoken_at_home,eng_oth_lang,0
1/1/2010,EAST REGION,female,marital_status,single,90213
1/1/2020,EAST REGION,,religion,catholic_christian,44451
1/1/2020,WEST REGION,,industry,transportation_storage,53110
1/1/2010,NORTH REGION,female,age_group,age_30_34,21440
1/1/2015,WEST REGION,,household_structure,ofn_3_more_gen,17400
1/1/2000,EAST REGION,,dwelling_type_household,hdb_4_room_flats,58546
1/1/2015,NORTH-EAST REGION,female,age_group,age_20_24,25350
